id,name,field,place_type,date,gm_area,natural_history_relevance,connected_people,connected_organisations,latitude,longitude,location_precision,research_status,priority,open_question,links,source_url
PL-NH-001,Kersal Moor,nat,Collecting landscape,1820s onward,Salford,Site of Buxton and Horsefield's meeting and the Manchester moth discovery.,Richard Buxton; John Horsefield; Robert Cribb; R. Wood,Prestwich botanical network; entomological network,53.5195,-2.283,area,Researched for this,Essential,"What habitats existed, who had access and how did specimens move from the moor?",8,https://historicengland.org.uk/listing/the-list/list-entry/1406283
PL-NH-002,Mere Clough,nat,Clough / field site,19th century,Prestwich,Important botanical field site associated with John Horsefield and local rare plants.,John Horsefield; Leo H. Grindon,Prestwich Botanical Society,53.533,-2.279,area,Researched for this,High,Which plants were recorded and how did industrial change alter the clough?,3,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
PL-NH-003,Agecroft and the Irwell Valley,nat,River valley / field site,19th century,Salford / Prestwich,Collecting and walking landscape used to remember artisan naturalists and local geological change.,Leo H. Grindon; artisan botanists,Field-Naturalists' Society,53.515,-2.296,area,Researched for this,High,"Map routes, habitats, transport access and later urban transformation.",3,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
PL-NH-004,Besses o' th' Barn / Whitefield,nat,Home and working landscape,Early–mid 19th century,Bury,Horsefield's home and weaving base; close to the Prestwich botanical network.,John Horsefield; Tom Bleackley,Prestwich Botanical Society,53.546,-2.286,area,Researched for this,Essential,Locate home/workshop and distinguish Whitefield from Prestwich meeting places.,3,https://historicengland.org.uk/listing/the-list/list-entry/1406283
PL-NH-005,Golden Lion,nat,Pub / meeting place,19th century,Greater Manchester - exact site verify,Remembered by Grindon as a site of vigorous botanical discussion.,Regional artisan botanists,Regional botanical meetings,53.54,-2.29,guess,Needs checking,Essential,"Which Golden Lion, when did meetings occur and what evidence survives?",1,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
PL-NH-006,Prestwich,nat,Township / network centre,19th century,Bury,Institutional and landscape centre of working-class botanical organisation.,John Horsefield; George Hulme; Richard Buxton,Prestwich Botanical Society,53.535,-2.283,area,Researched for this,Essential,"Map pubs, homes, gardens, churchyard and collecting paths.",7,https://historicengland.org.uk/listing/the-list/list-entry/1406283
PL-NH-007,Chat Moss,nat,Mossland / collecting landscape,19th century,Salford / Wigan,"Major mossland around Manchester, both a natural-history site and a landscape transformed by infrastructure/agriculture.",Leo H. Grindon and field naturalists,Field-Naturalists' Society,53.46,-2.42,area,Researched for this,High,"Connect species records with drainage, railway and agricultural transformation.",2,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
PL-NH-008,Carrington Moss,nat,Mossland / collecting landscape,19th century,Trafford,One of the extensive mosses identified by Grindon around Manchester.,Leo H. Grindon and field naturalists,Field-Naturalists' Society,53.4,-2.39,area,Researched for this,High,Record collecting visits and industrial/agricultural change.,2,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
PL-NH-009,Ashton Moss,nat,Mossland / collecting landscape,19th century,Tameside,Former mossland increasingly brought under cultivation during the Victorian period.,Ashton naturalists,Regional botanical societies,53.493,-2.113,area,Researched for this,High,Use as a case of habitat loss witnessed through botanical records.,2,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
PL-NH-010,White Moss,nat,Mossland / collecting landscape,19th century,Greater Manchester - exact extent verify,Former mossland noted as increasingly cultivated by the mid-19th century.,Regional naturalists,Regional botanical societies,53.535,-2.175,guess,Needs checking,Investigate,Confirm location and avoid confusion with similarly named sites.,1,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
