# Timeline sheet, cleaned edition — natural-history chronology combined with the original
# headline and women's political/civic timelines.
# id|year|sortYear|event|domain|keyFigures|orgs|places|theme|status|scope|sourceUrl|note
TL-NH-001|c.1770s–1790s|1780|Early artisan botanical societies and rotating meetings develop around Manchester and Lancashire.|nat|John Crowther and early artisan botanists|Informal botanical networks|Eccles; Ashton; Oldham; Middleton and others|Collective knowledge-making|Workshop candidate - verify|Pre-Victorian context|https://www.gutenberg.org/cache/epub/47578/pg47578-images.html|Establish dates and organisational names without over-formalising the network.
TL-NH-002|1808|1808|John Horsefield participates in a loose Manchester botanists' network.|nat|John Horsefield|Manchester Society of Botanists / informal network|Manchester area|Artisan science|Workshop candidate - verify|Pre-Victorian context|https://historicengland.org.uk/listing/the-list/list-entry/1406283|Capture how knowledge circulated before formal societies.
TL-NH-003|11 September 1820|1820|Prestwich Botanical Society founded.|nat|John Horsefield|Prestwich Botanical Society|Prestwich / Whitefield|Mutual education; artisan botany|Researched addition|Core|https://historicengland.org.uk/listing/the-list/list-entry/1406283|Add founding members and meeting venue.
TL-NH-004|1821|1821|Manchester Society for the Promotion of Natural History formed around private natural-history collections.|nat|John Leigh Philips and subscribers|Manchester Society for the Promotion of Natural History|Manchester|Museum formation; collecting|Researched addition|Core|https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/|Identify who financed the purchase and governance.
TL-NH-005|1826|1826|Richard Buxton meets John Horsefield while botanising on Kersal Moor.|nat|Richard Buxton; John Horsefield|Prestwich Botanical Society network|Kersal Moor|Mentoring; network formation|Researched addition|Core|https://historicengland.org.uk/listing/the-list/list-entry/1406283|Verify source and what changed for Buxton after the meeting.
TL-NH-006|1829|1829|Robert Cribb finds the Manchester moth at Kersal Moor; attribution later becomes disputed.|nat|Robert Cribb; R. Wood; John Curtis|Entomological collecting network|Kersal Moor|Discovery; disputed credit|Researched addition|Core|https://www.museum.manchester.ac.uk/collections/entomology|Preserve competing accounts and the chain of specimen transfer.
TL-NH-007|1830|1830|John Horsefield becomes president of the wider regional botanical meetings.|nat|John Horsefield|United Lancashire botanical societies|North Manchester / Lancashire|Federation; leadership|Workshop candidate - verify|Core|https://www.gutenberg.org/cache/epub/47578/pg47578-images.html|Clarify whether 'president' applied to a formal organisation or meeting network.
TL-BASE-001|1832|1832|Reform Act passed; working-class agitation grows in Manchester.|reform|||Manchester|Political context|Existing workbook|Context|Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf|Connect only where evidence shows naturalists' political participation.
TL-NH-008|1835|1835|Natural History Society museum opens on Peter Street.|nat|Society members and donors|Manchester Natural History Society|Peter Street|Museum; public knowledge|Researched addition|Core|https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/|Add visitor access, admission model and collection organisation.
TL-BASE-002|1838|1838|Manchester Corporation founded; start of modern local government.|civic||Manchester Corporation|Manchester|Civic government|Existing workbook|Context|Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf|Explore later links between civic institutions and museum support.
TL-BASE-003|1847|1847|Manchester Diocese established.|civic||Manchester Diocese|Manchester|Religious authority|Existing workbook|Context|Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf|Check clergy participation in natural history.
TL-NH-009|1849|1849|Richard Buxton publishes A Botanical Guide to plants within sixteen miles of Manchester.|nat|Richard Buxton|Artisan botanical network|Manchester|Publication; local knowledge|Researched addition|Core|https://journals.sagepub.com/doi/10.1177/007327539403200302|Record subscribers, supporters and information contributors.
