# Links added in cleaning, where a record named something the collection holds but no
# column carried the connection. Every one says what it rests on.
#   documented   the connection is stated in one of the two records' own text
#   verify       asserted here from outside the source; check it before relying on it
#   interpretive a reading offered for testing, not a claim
# a|relationship|b|evidence|note|source|kind
#
# --- stated in the records' own text ----------------------------------------
PL-BASE-004|terminus of|PL-BASE-003|documented|The Castlefield Basin record calls it the terminus of the Bridgewater Canal.||nearby
PL-BASE-033|crosses|PL-BASE-004|documented|Both records place these structures in Castlefield: the basin and the railway viaduct above it.||nearby
PL-BASE-056|stood around|PL-BASE-004|documented|The warehouse record names the Castlefield area, where the basin is.||nearby
PL-BASE-035|created by|PL-BASE-034|documented|The Port of Manchester record says it was established following the opening of the Manchester Ship Canal.||builtby
ORG-BASE-002|extended the powers of|ORG-BASE-001|documented|The Improvement Act record says it gave expanded administrative powers to the Corporation.||owned
200046|sold the manorial rights to|ORG-BASE-001|documented|The Mosley family record says they sold the rights of lord of the manor of Manchester to Manchester Corporation in 1846.||owned
200081|brought him to Manchester|200035|documented|Mary Burns's record says she introduced Engels to Manchester.||introduced
200074|founded and managed|PL-GAIETY|documented|Annie Horniman's record says she founded and managed the Gaiety Theatre.||founded
200071|performed at|PL-GAIETY|documented|Miss Lala's record says she frequently performed at the Gaiety Theatre, Manchester.||traded
200057|milled on|PL-BASE-058|documented|Robert Owen's record places his mills on Oxford Road and the River Medlock.||traded
200072|built mills like these|PL-BASE-045|documented|Edward Potts's record says he designed and built multiple mills, especially in Oldham.||builtby
200048|ran mills in Ancoats|PL-BASE-045|documented|The Murray brothers' record files them as factory owners in Ancoats.||traded
200049|ran mills in Ancoats|PL-BASE-045|documented|McConnel's record files him as a factory owner in Ancoats.||traded
200050|ran mills in Ancoats|PL-BASE-045|documented|Kennedy's record files him as a factory owner in Ancoats.||traded
200039|studied at|PL-BASE-021|documented|Marie Stopes's record says she studied at Manchester University, of which Owens College was the precursor.||workedat
200053|commemorated by a statue at|PL-BASE-002|documented|The record files John Dalton under "statues MRI" - the statues outside the Manchester Royal Infirmary.||commemorated
200054|commemorated by a statue at|PL-BASE-002|documented|The record files James Watt under "statues MRI" - the statues outside the Manchester Royal Infirmary.||commemorated
200055|commemorated by a statue at|PL-BASE-002|documented|The record files the Duke of Wellington under "statues MRI" - the statues outside the Manchester Royal Infirmary.||commemorated
200045|architect of|PL-BASE-029|documented|The record gives his category simply as "Town hall".||builtby
TL-WOM-014|happened at|PL-BASE-013|documented|The event is the opening of Peel Park.||happenedat
TL-WOM-015|happened at|PL-BASE-020|documented|The event is the inauguration of Salford Museum and Art Gallery.||happenedat
PL-BASE-014|opened the same year as|PL-BASE-013|documented|Both records give 1846, and the Peel Park record says the parks were funded by public subscription.||nearby
PL-BASE-015|opened the same year as|PL-BASE-013|documented|Both records give 1846, and the Peel Park record says the parks were funded by public subscription.||nearby
PL-BASE-026|part of the same complex as|PL-BASE-025|documented|Both records name Strangeways: the prison and the police courts and assizes beside it.||nearby
PL-BASE-016|on the same street as|PL-BASE-040|documented|Both records give King Street.||nearby
ORG-BASE-011|traded from|PL-BASE-027|documented|The CWS record describes the six-storey Balloon Street warehouse; the Co-operative Society record describes the movement that ran it.||traded
COL-010|gathered at|PL-BASE-027|documented|The Women's Co-operative Guild is recorded as gathering at the CWS building.||metat
ORG-BASE-007|shared its ground with|PL-BASE-051|documented|The Hulme Hall Settlement record names women's reform work and university extension courses; the Association's record names women's access to higher education.||nearby
200059|shares the collection's category with|200052|documented|Both records carry "campaigning and design for outdoor public spaces".||groupedunder
VM-ADD-002|son-in-law of|VM-ADD-003|documented|Duckworth's record says he was a Unitarian attorney and son-in-law of Robert Philips.||kin
VM-ADD-002|recorded together in 1826|200100|documented|Duckworth's record says that along with John Edward Taylor and George William Wood he was recorded in 1826 as supporting meliorating the condition of the slave population of the colonies.||associate
